kind	origin	aports_commit	bundle_path	size	sha512	source_url
aports	alpine-base	0934530484bbcde7498e2c694c710a49616a450e	aports/alpine-base.tar.gz	1063	b7789427c8ff93cdd5f9cd368cd270e21e6e4276ef690b34f990cda101a9cac7bd5258a65dad3c232081e77ee16448582a62acd141c5b80fc3179c32134ee6dd	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=0934530484bbcde7498e2c694c710a49616a450e&path=main%2Falpine-base
aports	alpine-baselayout	60a7585bbab2fa0f762504eb617dbca90216e31f	aports/alpine-baselayout.tar.gz	10866	3d0af55cc1069b3a455f81cd64e1ee8311f5250c209d28b0e1f36295daa6b7a14fa2377520e34033664f25b11665921ac1bc1886a37db98b42e0fd4fee6af494	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=60a7585bbab2fa0f762504eb617dbca90216e31f&path=main%2Falpine-baselayout
aports	alpine-keys	b9f23becced4d7b3ccc0fa0f28530243ccd314a0	aports/alpine-keys.tar.gz	10527	501476c3e4da75e8725882cdc555307bf61643a9e4bba13b82ecf9a277d4f7feefe382e086acfafae59cdf00c40692b4a2c8d0b6b696e4e2ed057b5fdd43af5b	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=b9f23becced4d7b3ccc0fa0f28530243ccd314a0&path=main%2Falpine-keys
aports	apk-tools	1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912	aports/apk-tools.tar.gz	8219	12a777c5097789c175ecfb6d85e209a8a9616d7ea9894fea92fbbd83d95791b1eec0b52df3b61b23fdd93204c005c4216d623ff118dc1820667d48319b9912eb	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=1403ea7a8ae3fb8e5a11207ddb1ff536eb8de912&path=main%2Fapk-tools
aports	busybox	c3ef5d10e6ef6528852c51f0564963e2f8c1be19	aports/busybox.tar.gz	75751	08c7e202226bda2285244ed607c1f390ae0a623781d9019d5f87e91113b514b3a236dc9a6ac0a31b31e03649420e265ad221867518d479e6689ab43830a4f09a	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=c3ef5d10e6ef6528852c51f0564963e2f8c1be19&path=main%2Fbusybox
aports	ca-certificates	e41cbd2ae991adfe8df298ba8e8e777e90bd0e03	aports/ca-certificates.tar.gz	1631	fb3bbc074ca684ef6d1de222b22bf2dc55b073cee686a0f41a91866599cedc58bb497408e257d5564ea37d1cabdab9e3fe0e10bc12e0826758eebf0741a660a5	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=e41cbd2ae991adfe8df298ba8e8e777e90bd0e03&path=main%2Fca-certificates
aports	musl	f5640d3a10f664c9119720c60515265d3d6f6d01	aports/musl.tar.gz	16891	318800aaf7e6f5734033b89ae293354e9cda9e6de2baed544895db108b037ce652107675ce1939ff650b496cdd1f3bb937e962ea4d55640190e6f63990a6ddae	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=f5640d3a10f664c9119720c60515265d3d6f6d01&path=main%2Fmusl
aports	openssl	4a4352d83ab03720965454a8c7b30b1b6a996c84	aports/openssl.tar.gz	3802	4edd345404e84681a107e9b38ddd0b8cb0e2013e16e354d02e0f7529e0cf6d6ff80b42fa905f535f754e964270bce476474a59e6f92bc27ae466a1f3a58661a8	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=4a4352d83ab03720965454a8c7b30b1b6a996c84&path=main%2Fopenssl
aports	pax-utils	c61801eeacb3ffcd9c2025b09e402153bb93fb39	aports/pax-utils.tar.gz	1241	9bf4ffa973c56531b804cd29c837211543c88d266186924f6a165f262fd1332bf8d8d6bc7c10083f02d92ea253616791e0bbf7e09400019cfc0923c6fe7696d4	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=c61801eeacb3ffcd9c2025b09e402153bb93fb39&path=main%2Fpax-utils
aports	skalibs	c3ef5d10e6ef6528852c51f0564963e2f8c1be19	aports/skalibs.tar.gz	1062	4b7439f278dcb0fa3933707917c106a6c0ba739a061abd2d607183b15b028e5d39b7101351e2c29756f55abc499917509a9cb40d19113416e756cf811c1f48ca	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=c3ef5d10e6ef6528852c51f0564963e2f8c1be19&path=main%2Fskalibs
aports	utmps	c3ef5d10e6ef6528852c51f0564963e2f8c1be19	aports/utmps.tar.gz	3361	a42dbffb7066eca9ee4238b06e52b0d509e0998ace638421f049e1c20b9908514ebe14ca5ab2e111d5890c5f5360ce4806732c17282527a1eab5f6e13841bdbc	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=c3ef5d10e6ef6528852c51f0564963e2f8c1be19&path=main%2Futmps
aports	zlib	f248b33b5943c7dc69bf691031d7612ab2e8ed93	aports/zlib.tar.gz	840	211f9c9734b6c111000dd01f34a1f5be86afcc66dbaf2247b6508e6e31416f3a38822f8392a150dd8720f7c5fb62641d63b83492feef499f74e13e6244be6ba5	https://gitlab.alpinelinux.org/api/v4/projects/alpine%2Faports/repository/archive.tar.gz?sha=f248b33b5943c7dc69bf691031d7612ab2e8ed93&path=main%2Fzlib
